Plano_de_contas;ID_Movimento;Data;Tipo_Movimento;Categoria;Valor;Cliente
33;4219;2024-09-24 08:26:23.648956;Saída;Serviço; 42.405,34 ;
21;3958;2024-09-20 08:26:23.648956;Saída;Salário; 23.922,86 ;
31;1423;2023-12-22 08:26:23.648956;Saída;Venda; 11.939,39 ;
12;4360;2023-03-31 08:26:23.648956;Entrada;Outros; 38.720,32 ;
12;4337;2023-07-12 08:26:23.648956;Entrada;Outros; 48.452,30 ;
22;3745;2023-10-03 08:26:23.648956;Saída;Salário; 19.268,10 ;
33;1639;2023-02-05 08:26:23.648956;Saída;Serviço; 15.609,81 ;
22;1544;2023-03-10 08:26:23.648956;Saída;Salário; 9.040,65 ;
33;3591;2024-02-25 08:26:23.648956;Saída;Serviço; 36.255,44 ;
22;1714;2023-02-27 08:26:23.648956;Saída;Salário; 28.904,41 ;
22;3292;2024-02-29 08:26:23.648956;Saída;Salário; 41.856,20 ;
12;1151;2024-09-03 08:26:23.648956;Entrada;Outros; 13.075,93 ;
31;3723;2023-07-28 08:26:23.648956;Saída;Venda; 7.055,85 ;
33;3558;2024-06-04 08:26:23.648956;Saída;Serviço; 6.624,80 ;
21;4531;2024-05-25 08:26:23.648956;Saída;Salário; 8.219,69 ;
11;3930;2024-03-22 08:26:23.648956;Entrada;Venda; 32.516,66 ;Cliente 2
32;2207;2024-05-18 08:26:23.648956;Saída;Outros; 8.928,52 ;
12;3076;2024-11-10 08:26:23.648956;Entrada;Imposto; 48.846,23 ;
32;1802;2023-01-27 08:26:23.648956;Saída;Outros; 32.612,28 ;
12;3176;2024-05-26 08:26:23.648956;Entrada;Imposto; 2.052,38 ;
11;3176;2024-09-29 08:26:23.648956;Entrada;Venda; 43.076,40 ;Cliente 1
12;2956;2023-03-09 08:26:23.648956;Entrada;Imposto; 25.443,24 ;
31;4125;2024-05-15 08:26:23.648956;Saída;Venda; 20.817,94 ;
32;2925;2024-06-27 08:26:23.648956;Saída;Outros; 35.711,74 ;
11;4622;2023-11-30 08:26:23.648956;Entrada;Serviço; 23.122,43 ;Cliente 1
22;4560;2024-09-11 08:26:23.648956;Saída;Imposto; 14.162,08 ;
22;1756;2023-10-02 08:26:23.648956;Saída;Salário; 10.607,44 ;
31;1273;2023-06-06 08:26:23.648956;Saída;Venda; 28.013,88 ;
22;3383;2023-04-25 08:26:23.648956;Saída;Salário; 33.610,29 ;
22;1388;2023-05-08 08:26:23.648956;Saída;Salário; 17.806,08 ;
21;2641;2024-02-19 08:26:23.648956;Saída;Salário; 25.156,67 ;
22;4114;2023-01-30 08:26:23.648956;Saída;Imposto; 30.562,44 ;
22;2466;2024-01-01 08:26:23.648956;Saída;Imposto; 34.506,53 ;
33;3591;2023-01-15 08:26:23.648956;Saída;Serviço; 48.224,76 ;
12;1888;2024-04-22 08:26:23.648956;Entrada;Outros; 32.566,32 ;
32;1257;2024-02-05 08:26:23.648956;Saída;Outros; 5.548,12 ;
11;2345;2023-05-17 08:26:23.648956;Entrada;Venda; 27.716,69 ;Cliente 5
31;3105;2023-01-28 08:26:23.648956;Saída;Venda; 35.246,95 ;
21;3339;2024-01-20 08:26:23.648956;Saída;Salário; 15.671,45 ;
22;4942;2023-03-15 08:26:23.648956;Saída;Imposto; 44.317,03 ;
21;4191;2023-10-31 08:26:23.648956;Saída;Salário; 34.205,04 ;
22;3827;2023-03-08 08:26:23.648956;Saída;Imposto; 1.227,63 ;
12;1430;2023-06-27 08:26:23.648956;Entrada;Outros; 17.131,62 ;
11;4154;2023-09-23 08:26:23.648956;Entrada;Venda; 10.748,76 ;Cliente 4
11;1091;2024-08-09 08:26:23.648956;Entrada;Serviço; 33.756,59 ;Cliente 1
22;2920;2023-12-20 08:26:23.648956;Saída;Imposto; 35.371,01 ;
31;3446;2022-11-16 08:26:23.648956;Saída;Venda; 6.445,24 ;
32;3659;2023-06-03 08:26:23.648956;Saída;Outros; 33.027,91 ;
12;2589;2023-05-09 08:26:23.648956;Entrada;Outros; 20.557,68 ;
21;3956;2024-06-24 08:26:23.648956;Saída;Salário; 11.253,93 ;
21;3681;2023-05-06 08:26:23.648956;Saída;Salário; 31.934,00 ;
32;1084;2024-02-15 08:26:23.648956;Saída;Outros; 40.833,16 ;
31;3251;2024-09-24 08:26:23.648956;Saída;Venda; 28.823,95 ;
33;1324;2024-05-05 08:26:23.648956;Saída;Serviço; 38.152,41 ;
22;1774;2024-06-30 08:26:23.648956;Saída;Salário; 40.317,29 ;
12;4012;2023-06-24 08:26:23.648956;Entrada;Outros; 27.793,46 ;
12;2071;2024-08-09 08:26:23.648956;Entrada;Outros; 1.673,40 ;
31;1639;2024-02-17 08:26:23.648956;Saída;Venda; 10.283,38 ;
31;3036;2023-06-29 08:26:23.648956;Saída;Venda; 29.799,44 ;
22;2155;2024-01-26 08:26:23.648956;Saída;Imposto; 19.771,79 ;
22;1972;2023-09-20 08:26:23.648956;Saída;Imposto; 9.774,25 ;
22;3916;2024-09-27 08:26:23.648956;Saída;Salário; 11.613,41 ;
22;2204;2024-05-04 08:26:23.648956;Saída;Salário; 25.947,65 ;
11;3024;2023-08-29 08:26:23.648956;Entrada;Serviço; 11.177,65 ;Cliente 3
31;4918;2023-09-20 08:26:23.648956;Saída;Venda; 27.269,47 ;
12;2167;2023-08-19 08:26:23.648956;Entrada;Outros; 39.824,41 ;
21;2684;2023-05-01 08:26:23.648956;Saída;Salário; 16.066,48 ;
11;4299;2024-05-22 08:26:23.648956;Entrada;Serviço; 28.442,15 ;Cliente 2
12;4002;2023-06-02 08:26:23.648956;Entrada;Imposto; 5.777,15 ;
22;3839;2024-03-19 08:26:23.648956;Saída;Salário; 17.271,20 ;
12;3767;2024-04-19 08:26:23.648956;Entrada;Imposto; 13.259,38 ;
22;3957;2022-11-16 08:26:23.648956;Saída;Salário; 7.373,70 ;
12;1373;2023-02-20 08:26:23.648956;Entrada;Imposto; 3.387,86 ;
22;2877;2024-09-18 08:26:23.648956;Saída;Imposto; 22.174,57 ;
21;1560;2023-02-13 08:26:23.648956;Saída;Salário; 40.039,54 ;
31;2329;2024-09-20 08:26:23.648956;Saída;Venda; 22.114,63 ;
11;2605;2023-10-08 08:26:23.648956;Entrada;Serviço; 26.454,68 ;Cliente 4
22;3217;2024-05-19 08:26:23.648956;Saída;Salário; 1.428,64 ;
33;2699;2024-06-04 08:26:23.648956;Saída;Serviço; 41.872,76 ;
32;2472;2024-10-28 08:26:23.648956;Saída;Outros; 45.296,87 ;
11;4167;2024-04-28 08:26:23.648956;Entrada;Serviço; 34.470,83 ;Cliente 5
22;4269;2024-06-16 08:26:23.648956;Saída;Imposto; 22.859,64 ;
32;4678;2024-03-05 08:26:23.648956;Saída;Outros; 20.825,36 ;
12;1256;2024-08-25 08:26:23.648956;Entrada;Outros; 41.729,02 ;
12;2905;2023-09-06 08:26:23.648956;Entrada;Imposto; 18.761,04 ;
11;4762;2024-10-18 08:26:23.648956;Entrada;Venda; 29.799,95 ;Cliente 3
33;2316;2023-04-12 08:26:23.648956;Saída;Serviço; 24.933,09 ;
32;2954;2023-11-30 08:26:23.648956;Saída;Outros; 25.174,94 ;
11;1816;2023-07-11 08:26:23.648956;Entrada;Venda; 40.510,54 ;Cliente 1
11;4933;2024-10-27 08:26:23.648956;Entrada;Venda; 37.322,09 ;Cliente 5
31;3435;2023-01-05 08:26:23.648956;Saída;Venda; 7.823,81 ;
22;2634;2023-02-24 08:26:23.648956;Saída;Salário; 18.952,27 ;
12;4626;2024-01-23 08:26:23.648956;Entrada;Outros; 22.861,85 ;
33;1973;2023-06-26 08:26:23.648956;Saída;Serviço; 5.995,42 ;
32;1368;2024-06-27 08:26:23.648956;Saída;Outros; 40.896,21 ;
22;3023;2024-06-14 08:26:23.648956;Saída;Salário; 4.880,21 ;
11;3965;2023-04-15 08:26:23.648956;Entrada;Venda; 37.213,48 ;Cliente 2
32;1201;2024-05-17 08:26:23.648956;Saída;Outros; 5.649,70 ;
11;3431;2023-03-22 08:26:23.648956;Entrada;Serviço; 30.420,70 ;Cliente 2
31;2536;2023-02-18 08:26:23.648956;Saída;Venda; 5.334,84 ;
11;2930;2023-02-17 08:26:23.648956;Entrada;Serviço; 24.743,34 ;Cliente 5
11;3418;2023-05-02 08:26:23.648956;Entrada;Serviço; 41.429,51 ;Cliente 3
12;1555;2024-02-23 08:26:23.648956;Entrada;Outros; 6.876,34 ;
31;1954;2023-08-24 08:26:23.648956;Saída;Venda; 9.939,43 ;
11;4455;2024-02-17 08:26:23.648956;Entrada;Serviço; 14.637,06 ;Cliente 2
32;3071;2023-06-02 08:26:23.648956;Saída;Outros; 22.370,48 ;
21;2723;2023-06-04 08:26:23.648956;Saída;Salário; 45.295,57 ;
33;1130;2024-02-29 08:26:23.648956;Saída;Serviço; 33.120,01 ;
32;3425;2023-09-17 08:26:23.648956;Saída;Outros; 35.944,52 ;
22;3146;2022-11-26 08:26:23.648956;Saída;Imposto; 8.220,56 ;
12;4646;2023-04-19 08:26:23.648956;Entrada;Outros; 47.482,21 ;
21;1931;2024-10-30 08:26:23.648956;Saída;Salário; 41.194,27 ;
22;3782;2023-07-11 08:26:23.648956;Saída;Salário; 28.526,57 ;
11;3171;2023-01-20 08:26:23.648956;Entrada;Venda; 359,01 ;Cliente 3
31;2987;2024-01-10 08:26:23.648956;Saída;Venda; 39.551,95 ;
21;3642;2023-07-11 08:26:23.648956;Saída;Salário; 34.092,01 ;
21;2966;2024-07-24 08:26:23.648956;Saída;Salário; 2.474,85 ;
11;3787;2023-04-05 08:26:23.648956;Entrada;Venda; 27.814,45 ;Cliente 4
22;4220;2024-09-01 08:26:23.648956;Saída;Salário; 19.888,54 ;
12;1209;2023-07-28 08:26:23.648956;Entrada;Outros; 30.839,83 ;
12;3610;2023-09-24 08:26:23.648956;Entrada;Imposto; 3.392,09 ;
33;2435;2024-09-14 08:26:23.648956;Saída;Serviço; 30.507,11 ;
21;3830;2024-07-15 08:26:23.648956;Saída;Salário; 44.467,75 ;
32;4113;2024-08-31 08:26:23.648956;Saída;Outros; 24.323,20 ;
22;4130;2023-01-02 08:26:23.648956;Saída;Salário; 16.945,27 ;
11;3753;2024-05-24 08:26:23.648956;Entrada;Serviço; 34.294,19 ;Cliente 2
32;4108;2024-06-07 08:26:23.648956;Saída;Outros; 46.761,18 ;
21;3826;2024-10-06 08:26:23.648956;Saída;Salário; 35.480,92 ;
22;1086;2024-09-24 08:26:23.648956;Saída;Salário; 47.246,67 ;
33;4115;2023-10-04 08:26:23.648956;Saída;Serviço; 26.883,86 ;
21;1872;2022-12-03 08:26:23.648956;Saída;Salário; 5.737,25 ;
12;3059;2024-01-19 08:26:23.648956;Entrada;Outros; 25.264,59 ;
11;3818;2023-09-09 08:26:23.648956;Entrada;Venda; 17.126,32 ;Cliente 5
11;1307;2023-08-02 08:26:23.648956;Entrada;Venda; 7.125,37 ;Cliente 1
22;2104;2024-02-24 08:26:23.648956;Saída;Imposto; 41.199,55 ;
12;3080;2024-06-19 08:26:23.648956;Entrada;Outros; 48.730,73 ;
31;2206;2023-03-03 08:26:23.648956;Saída;Venda; 27.196,37 ;
21;2152;2024-11-10 08:26:23.648956;Saída;Salário; 18.258,74 ;
22;3854;2024-03-28 08:26:23.648956;Saída;Imposto; 5.282,02 ;
11;1275;2024-01-30 08:26:23.648956;Entrada;Serviço; 30.038,07 ;Cliente 2
32;2198;2024-10-23 08:26:23.648956;Saída;Outros; 40.938,95 ;
22;2578;2023-07-30 08:26:23.648956;Saída;Imposto; 4.251,81 ;
12;2395;2023-03-05 08:26:23.648956;Entrada;Outros; 2.825,50 ;
12;2208;2023-06-11 08:26:23.648956;Entrada;Outros; 11.778,51 ;
11;3492;2024-10-25 08:26:23.648956;Entrada;Venda; 34.948,29 ;Cliente 2
21;3536;2024-09-02 08:26:23.648956;Saída;Salário; 43.314,16 ;
11;4661;2024-01-31 08:26:23.648956;Entrada;Serviço; 38.977,89 ;Cliente 3
11;3334;2023-06-24 08:26:23.648956;Entrada;Serviço; 24.832,42 ;Cliente 4
22;2304;2024-08-28 08:26:23.648956;Saída;Salário; 7.131,55 ;
21;1637;2024-08-07 08:26:23.648956;Saída;Salário; 14.006,41 ;
22;1770;2024-10-02 08:26:23.648956;Saída;Salário; 26.542,77 ;
22;4587;2023-01-04 08:26:23.648956;Saída;Salário; 31.822,52 ;
12;1094;2024-10-28 08:26:23.648956;Entrada;Outros; 41.425,76 ;
21;4298;2023-05-01 08:26:23.648956;Saída;Salário; 18.138,84 ;
32;2899;2024-08-18 08:26:23.648956;Saída;Outros; 40.006,82 ;
22;4341;2024-07-28 08:26:23.648956;Saída;Salário; 4.228,14 ;
11;2904;2024-06-06 08:26:23.648956;Entrada;Venda; 43.800,40 ;Cliente 2
11;3344;2023-03-27 08:26:23.648956;Entrada;Serviço; 23.762,27 ;Cliente 4
32;2352;2023-06-12 08:26:23.648956;Saída;Outros; 49.685,18 ;
32;4091;2023-08-29 08:26:23.648956;Saída;Outros; 15.168,47 ;
11;1607;2024-05-03 08:26:23.648956;Entrada;Venda; 31.920,61 ;Cliente 2
32;4912;2023-09-03 08:26:23.648956;Saída;Outros; 35.694,08 ;
12;2434;2024-06-28 08:26:23.648956;Entrada;Imposto; 2.284,51 ;
22;3498;2024-08-30 08:26:23.648956;Saída;Imposto; 17.943,94 ;
21;2272;2023-11-30 08:26:23.648956;Saída;Salário; 23.863,14 ;
22;1180;2024-10-16 08:26:23.648956;Saída;Salário; 29.798,75 ;
22;3371;2023-03-02 08:26:23.648956;Saída;Imposto; 20.910,68 ;
33;4052;2024-10-13 08:26:23.648956;Saída;Serviço; 35.340,37 ;
31;4901;2024-05-31 08:26:23.648956;Saída;Venda; 7.171,10 ;
32;4854;2024-08-17 08:26:23.648956;Saída;Outros; 23.333,54 ;
12;4936;2023-01-07 08:26:23.648956;Entrada;Imposto; 23.908,34 ;
22;4332;2024-11-10 08:26:23.648956;Saída;Salário; 9.092,76 ;
12;1749;2023-12-29 08:26:23.648956;Entrada;Imposto; 37.892,36 ;
12;3187;2023-11-25 08:26:23.648956;Entrada;Imposto; 14.978,82 ;
12;2020;2023-11-13 08:26:23.648956;Entrada;Outros; 10.140,44 ;
32;3646;2023-06-26 08:26:23.648956;Saída;Outros; 35.085,41 ;
12;4533;2023-03-27 08:26:23.648956;Entrada;Imposto; 15.340,06 ;
12;3937;2023-05-02 08:26:23.648956;Entrada;Outros; 14.401,80 ;
11;2645;2023-05-23 08:26:23.648956;Entrada;Serviço; 18.524,79 ;Cliente 5
11;1843;2023-09-13 08:26:23.648956;Entrada;Serviço; 35.712,78 ;Cliente 3
21;3744;2024-02-11 08:26:23.648956;Saída;Salário; 14.203,91 ;
33;2552;2024-02-23 08:26:23.648956;Saída;Serviço; 26.116,45 ;
32;4224;2024-04-08 08:26:23.648956;Saída;Outros; 20.896,96 ;
12;1925;2024-04-03 08:26:23.648956;Entrada;Imposto; 18.174,60 ;
11;3197;2024-09-09 08:26:23.648956;Entrada;Venda; 14.197,62 ;Cliente 5
31;2134;2023-05-02 08:26:23.648956;Saída;Venda; 1.086,06 ;
22;1025;2023-09-22 08:26:23.648956;Saída;Imposto; 43.885,88 ;
12;2488;2024-04-16 08:26:23.648956;Entrada;Outros; 23.440,90 ;
21;1956;2023-02-09 08:26:23.648956;Saída;Salário; 4.889,15 ;
21;2913;2024-09-28 08:26:23.648956;Saída;Salário; 25.216,76 ;
12;3934;2024-03-01 08:26:23.648956;Entrada;Imposto; 44.559,97 ;
33;2141;2023-11-01 08:26:23.648956;Saída;Serviço; 44.320,95 ;
31;2469;2022-12-27 08:26:23.648956;Saída;Venda; 22.181,86 ;
12;2619;2024-06-11 08:26:23.648956;Entrada;Imposto; 48.864,06 ;
32;3721;2023-05-31 08:26:23.648956;Saída;Outros; 6.755,43 ;
33;2896;2024-10-31 08:26:23.648956;Saída;Serviço; 38.617,35 ;
11;1928;2024-09-06 08:26:23.648956;Entrada;Venda; 3.319,49 ;Cliente 3
11;4300;2023-03-17 08:26:23.648956;Entrada;Serviço; 47.556,06 ;Cliente 5
22;2531;2024-08-02 08:26:23.648956;Saída;Salário; 49.551,81 ;
12;3811;2022-11-20 08:26:23.648956;Entrada;Outros; 26.913,11 ;
22;3169;2024-08-06 08:26:23.648956;Saída;Salário; 24.209,93 ;
21;2350;2023-09-03 08:26:23.648956;Saída;Salário; 5.663,16 ;
31;1469;2024-06-30 08:26:23.648956;Saída;Venda; 719,51 ;
22;3335;2022-11-18 08:26:23.648956;Saída;Salário; 28.703,80 ;
12;1525;2023-06-28 08:26:23.648956;Entrada;Imposto; 25.533,46 ;
32;2863;2023-09-10 08:26:23.648956;Saída;Outros; 3.318,05 ;
22;2720;2024-09-08 08:26:23.648956;Saída;Imposto; 19.555,87 ;
32;2176;2023-07-10 08:26:23.648956;Saída;Outros; 36.368,44 ;
31;1591;2024-06-25 08:26:23.648956;Saída;Venda; 49.287,14 ;
12;3089;2022-11-19 08:26:23.648956;Entrada;Outros; 34.528,93 ;
21;3322;2023-12-02 08:26:23.648956;Saída;Salário; 30.712,67 ;
22;4624;2023-08-23 08:26:23.648956;Saída;Salário; 6.357,98 ;
21;4510;2023-08-11 08:26:23.648956;Saída;Salário; 44.658,01 ;
22;1207;2023-04-18 08:26:23.648956;Saída;Salário; 27.142,42 ;
31;3827;2023-10-31 08:26:23.648956;Saída;Venda; 39.458,83 ;
12;1166;2023-03-21 08:26:23.648956;Entrada;Outros; 23.638,65 ;
21;3159;2024-03-24 08:26:23.648956;Saída;Salário; 3.838,24 ;
12;4421;2024-09-11 08:26:23.648956;Entrada;Outros; 9.958,80 ;
21;2153;2023-05-05 08:26:23.648956;Saída;Salário; 5.414,91 ;
11;3783;2024-07-10 08:26:23.648956;Entrada;Venda; 48.114,15 ;Cliente 1
33;2910;2023-11-16 08:26:23.648956;Saída;Serviço; 42.627,30 ;
12;3860;2023-12-06 08:26:23.648956;Entrada;Imposto; 25.800,73 ;
33;1216;2023-12-22 08:26:23.648956;Saída;Serviço; 46.989,63 ;
11;4453;2024-07-04 08:26:23.648956;Entrada;Venda; 7.642,03 ;Cliente 5
12;1024;2023-12-16 08:26:23.648956;Entrada;Outros; 47.134,40 ;
22;1067;2023-09-18 08:26:23.648956;Saída;Salário; 44.095,26 ;
12;4026;2023-09-09 08:26:23.648956;Entrada;Outros; 46.959,20 ;
21;2007;2024-07-03 08:26:23.648956;Saída;Salário; 43.394,29 ;
22;4843;2024-05-24 08:26:23.648956;Saída;Salário; 1.668,46 ;
12;3282;2024-02-24 08:26:23.648956;Entrada;Imposto; 42.141,07 ;
12;2740;2022-12-24 08:26:23.648956;Entrada;Outros; 16.257,14 ;
33;3022;2023-04-11 08:26:23.648956;Saída;Serviço; 17.965,01 ;
12;1291;2022-12-14 08:26:23.648956;Entrada;Outros; 45.053,34 ;
33;2750;2023-11-07 08:26:23.648956;Saída;Serviço; 15.576,13 ;
31;2022;2023-06-20 08:26:23.648956;Saída;Venda; 3.458,58 ;
33;3749;2024-06-05 08:26:23.648956;Saída;Serviço; 49.149,59 ;
22;4781;2023-09-11 08:26:23.648956;Saída;Imposto; 45.953,80 ;
11;3775;2024-09-10 08:26:23.648956;Entrada;Venda; 2.669,56 ;Cliente 5
12;3603;2024-08-23 08:26:23.648956;Entrada;Imposto; 43.172,48 ;
22;3080;2024-10-27 08:26:23.648956;Saída;Imposto; 23.830,83 ;
33;4083;2023-11-24 08:26:23.648956;Saída;Serviço; 26.935,94 ;
32;2640;2023-12-20 08:26:23.648956;Saída;Outros; 37.559,20 ;
11;3260;2023-03-29 08:26:23.648956;Entrada;Serviço; 40.994,78 ;Cliente 5
12;2162;2022-12-06 08:26:23.648956;Entrada;Imposto; 45.241,43 ;
33;2718;2023-09-13 08:26:23.648956;Saída;Serviço; 29.932,36 ;
12;2445;2024-01-22 08:26:23.648956;Entrada;Outros; 11.794,09 ;
12;4709;2023-08-09 08:26:23.648956;Entrada;Imposto; 24.481,60 ;
33;4740;2023-11-03 08:26:23.648956;Saída;Serviço; 32.256,98 ;
12;1623;2023-08-26 08:26:23.648956;Entrada;Outros; 41.517,56 ;
33;4560;2023-11-04 08:26:23.648956;Saída;Serviço; 24.599,02 ;
11;1770;2023-06-28 08:26:23.648956;Entrada;Serviço; 10.315,35 ;Cliente 2
12;2563;2024-08-09 08:26:23.648956;Entrada;Imposto; 19.019,18 ;
12;2241;2023-05-04 08:26:23.648956;Entrada;Imposto; 8.758,66 ;
11;3711;2023-01-31 08:26:23.648956;Entrada;Venda; 46.946,55 ;Cliente 1
31;1821;2024-06-04 08:26:23.648956;Saída;Venda; 12.476,55 ;
11;1307;2023-07-31 08:26:23.648956;Entrada;Serviço; 25.082,71 ;Cliente 4
31;2198;2024-06-28 08:26:23.648956;Saída;Venda; 43.245,41 ;
22;2172;2024-10-01 08:26:23.648956;Saída;Salário; 10.265,27 ;
33;3997;2023-06-09 08:26:23.648956;Saída;Serviço; 16.556,20 ;
12;2565;2023-04-22 08:26:23.648956;Entrada;Outros; 28.607,23 ;
33;4651;2024-02-29 08:26:23.648956;Saída;Serviço; 16.325,33 ;
32;3595;2023-02-26 08:26:23.648956;Saída;Outros; 3.770,68 ;
33;1807;2023-09-14 08:26:23.648956;Saída;Serviço; 5.342,62 ;
32;4465;2024-03-31 08:26:23.648956;Saída;Outros; 10.929,84 ;
31;3121;2022-11-28 08:26:23.648956;Saída;Venda; 6.094,12 ;
31;1297;2024-07-01 08:26:23.648956;Saída;Venda; 45.506,38 ;
12;3967;2023-09-09 08:26:23.648956;Entrada;Imposto; 23.291,32 ;
21;4971;2024-01-14 08:26:23.648956;Saída;Salário; 30.724,11 ;
31;4886;2023-04-10 08:26:23.648956;Saída;Venda; 9.154,95 ;
12;1730;2024-01-17 08:26:23.648956;Entrada;Imposto; 37.099,72 ;
11;2970;2022-12-28 08:26:23.648956;Entrada;Venda; 361,83 ;Cliente 4
32;3924;2023-11-17 08:26:23.648956;Saída;Outros; 46.277,35 ;
11;2795;2024-03-17 08:26:23.648956;Entrada;Serviço; 23.100,96 ;Cliente 3
11;2823;2023-07-30 08:26:23.648956;Entrada;Serviço; 21.063,73 ;Cliente 1
32;3825;2024-05-15 08:26:23.648956;Saída;Outros; 2.410,25 ;
11;4466;2023-10-11 08:26:23.648956;Entrada;Venda; 104,29 ;Cliente 2
11;4611;2024-06-19 08:26:23.648956;Entrada;Venda; 22.661,80 ;Cliente 2
33;1429;2023-10-04 08:26:23.648956;Saída;Serviço; 25.263,67 ;
12;1199;2023-08-30 08:26:23.648956;Entrada;Imposto; 49.448,04 ;
33;2447;2022-11-24 08:26:23.648956;Saída;Serviço; 31.338,98 ;
12;2085;2024-08-18 08:26:23.648956;Entrada;Outros; 14.045,10 ;
32;3389;2023-01-07 08:26:23.648956;Saída;Outros; 30.914,33 ;
22;1865;2023-06-10 08:26:23.648956;Saída;Imposto; 2.023,90 ;
11;4116;2024-11-10 08:26:23.648956;Entrada;Venda; 34.830,41 ;Cliente 5
22;3850;2023-06-27 08:26:23.648956;Saída;Imposto; 31.027,14 ;
31;2954;2022-11-27 08:26:23.648956;Saída;Venda; 25.381,48 ;
12;2112;2023-10-29 08:26:23.648956;Entrada;Imposto; 20.771,92 ;
22;3081;2023-08-30 08:26:23.648956;Saída;Salário; 27.627,96 ;
22;3693;2024-04-02 08:26:23.648956;Saída;Salário; 33.249,19 ;
11;3280;2024-07-11 08:26:23.648956;Entrada;Serviço; 10.852,61 ;Cliente 2
33;1767;2023-03-31 08:26:23.648956;Saída;Serviço; 11.961,04 ;
22;3084;2023-04-14 08:26:23.648956;Saída;Imposto; 39.967,43 ;
21;2792;2024-04-25 08:26:23.648956;Saída;Salário; 5.635,83 ;
12;2483;2024-07-12 08:26:23.648956;Entrada;Outros; 10.094,70 ;
32;3338;2023-01-11 08:26:23.648956;Saída;Outros; 36.824,52 ;
